case:concept:name,concept:name,order,predict_patterns
case_0,Start,0,
case_0,a,1,
case_0,b,2,
case_0,c,3,
case_0,d,4,
case_0,e,5,
case_0,k,6,
case_0,j,7,
case_0,End,8,
case_1,Start,0,
case_1,a,1,
case_1,b,2,
case_1,c,3,
case_1,d,4,
case_1,e,5,
case_1,l,6,
case_1,m,7,
case_1,n,8,
case_1,j,9,
case_1,End,10,
case_10,Start,0,
case_10,a,1,
case_10,b,2,
case_10,c,3,
case_10,d,4,
case_10,e,5,
case_10,l,6,
case_10,q,7,
case_10,r,8,
case_10,n,9,
case_10,j,10,
case_10,End,11,
case_100,Start,0,
case_100,a,1,
case_100,b,2,
case_100,c,3,
case_100,d,4,
case_100,e,5,
case_100,k,6,
case_100,j,7,
case_100,End,8,
case_1000,Start,0,
case_1000,a,1,
case_1000,b,2,
case_1000,c,3,
case_1000,d,4,
case_1000,e,5,
case_1000,k,6,
case_1000,j,7,
case_1000,End,8,
case_10000,Start,0,
case_10000,a,1,
case_10000,b,2,
case_10000,c,3,
case_10000,d,4,
case_10000,e,5,
case_10000,f,6,
case_10000,g,7,
case_10000,h,8,
case_10000,i,9,
case_10000,j,10,
case_10000,End,11,
case_10001,Start,0,
case_10001,a,1,
case_10001,b,2,
case_10001,c,3,
case_10001,d,4,
case_10001,e,5,
case_10001,l,6,
case_10001,m,7,
case_10001,n,8,
case_10001,j,9,
case_10001,End,10,
case_10002,Start,0,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,a,1,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,b,2,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,c,3,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,d,0,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,e,4,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,f,5,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,g,7,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,h,8,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,i,9,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,j,10,"['move_inject_4_d', 'move_remove_6_d']"
case_10002,End,11,"['move_inject_4_d', 'move_remove_6_d']"
case_10003,Start,0,
case_10003,a,1,
case_10003,b,2,
case_10003,c,3,
case_10003,d,4,
case_10003,e,5,
case_10003,f,6,
case_10003,g,7,
case_10003,h,8,
case_10003,i,9,
case_10003,j,10,
case_10003,End,11,
case_10004,Start,0,
case_10004,a,1,
case_10004,b,2,
case_10004,c,3,
case_10004,d,4,
case_10004,e,5,
case_10004,f,6,
case_10004,g,7,
case_10004,h,8,
case_10004,i,9,
case_10004,j,10,
case_10004,End,11,
case_10005,Start,0,
case_10005,a,1,
case_10005,b,2,
case_10005,c,3,
case_10005,d,4,
case_10005,e,5,
case_10005,l,6,
case_10005,m,7,
case_10005,n,8,
case_10005,j,9,
case_10005,End,10,
case_10006,Start,0,
case_10006,a,1,
case_10006,b,2,
case_10006,c,3,
case_10006,d,4,
case_10006,e,5,
case_10006,k,6,
case_10006,j,7,
case_10006,End,8,
case_10007,Start,0,
case_10007,a,1,
case_10007,b,2,
case_10007,c,3,
case_10007,d,4,
case_10007,e,5,
case_10007,f,6,
case_10007,g,7,
case_10007,h,8,
case_10007,i,9,
case_10007,j,10,
case_10007,End,11,
case_10008,Start,0,
case_10008,a,1,
case_10008,b,2,
case_10008,c,3,
case_10008,d,4,
case_10008,e,5,
case_10008,f,6,
case_10008,g,7,
case_10008,h,8,
case_10008,i,9,
case_10008,j,10,
case_10008,End,11,
case_10009,Start,0,
case_10009,a,1,
case_10009,b,2,
case_10009,c,3,
